edge_index;vertex_1_index;vertex_2_index;current
555;191;2642;-0.00038610261140830797
556;192;2617;-0.0007674485777375211
557;192;2642;-0.0025753105571486388
558;192;2643;0.0033427591348861602
559;193;2618;0.002562920881098122
560;193;2643;-0.004060452745709112
561;193;2644;0.0014975318646109894
562;194;2619;0.0004526915991538888
563;194;2644;-0.00017330110330501157
564;194;2645;-0.0002793904958488773
565;195;2620;-0.0018863654288798367
566;195;2645;-0.00239656708532839
567;195;2646;0.004282932514208227
568;196;2621;0.0022063398028600184
569;196;2646;-0.0050060912305613225
570;196;2647;0.0027997514277013033
571;197;2622;0.0005177025516012004
572;197;2647;-0.000295639514606201
573;197;2648;-0.00022206303699499929
574;198;2623;-0.0031754830656596663
575;198;2648;-0.0020382254039485875
576;198;2649;0.00521370846960827
577;199;2624;0.0017231520116846289
578;199;2649;-0.005964657363244196
579;199;2650;0.0042415053515595744
580;200;2625;0.000554608102970278
581;200;2650;-0.0003987694359931075
582;200;2651;-0.00015583866697717056
583;201;2626;-0.004582884191046907
584;201;2651;-0.0015930425695099885
585;201;2652;0.006175926760556893
586;202;2627;0.001170100510091301
587;202;2652;-0.006899367831582214
588;202;2653;0.0057292673214909134
589;203;2628;0.0004919493529292016
590;203;2653;-0.0004106752474174264
591;203;2654;-8.127410551177523e-05
592;204;2629;-0.006124470231721134
593;204;2654;-0.0011046204192458509
594;204;2655;0.007229090650966984
595;205;2630;0.0005900969211036389
596;205;2655;-0.007822492343050772
597;205;2656;0.0072323954219471335
598;206;2631;0.00030454076657179336
599;206;2656;-0.0002821120088678144
600;206;2657;-2.2428757703979003e-05
601;207;2632;-0.00783567678738006
602;207;2657;-0.0005770803629648362
603;207;2658;0.008412757150344896
604;208;2658;-0.008761877571213866
605;208;2659;0.008761877571213866
606;209;2633;0.0031673927649436447
607;209;2660;-0.0028608848125315023
608;209;2661;-0.00030650795241214256
609;210;2634;0.0018730203456468518
610;210;2661;0.00023165090866858915
611;210;2662;-0.002104671254315441
612;211;2635;0.000260498101885592
613;211;2662;-0.0013994163134488993
614;211;2663;0.0011389182115633073
615;212;2636;0.0032504695674719784
616;212;2663;-0.0029202091099548603
617;212;2664;-0.0003302604575171178
618;213;2637;0.001112866333806239
619;213;2664;0.00014402202263717824
620;213;2665;-0.0012568883564434172
621;214;2638;0.00018528595415131572
622;214;2665;-0.002221843880929617
623;214;2666;0.002036557926778301
624;215;2639;0.0031320478592443855
625;215;2666;-0.0033164977200320824
626;215;2667;0.0001844498607876929
627;216;2640;0.0008166448552110238
628;216;2667;-4.919627747350535e-05
629;216;2668;-0.0007674485777375184
630;217;2641;-0.00038610261140830727
631;217;2668;-0.002575310557148636
632;217;2669;0.002961413168556943
633;218;2642;0.0029614131685569466
634;218;2669;-0.004026199450690127
635;218;2670;0.0010647862821331808
636;219;2643;0.0007176936108229514
637;219;2670;-0.0001988048833712145
638;219;2671;-0.000518888727451737
639;220;2644;-0.001324230761305978
640;220;2671;-0.0025959553398530438
641;220;2672;0.003920186101159025
642;221;2645;0.0026759575811772683
643;221;2672;-0.004913737323112849
644;221;2673;0.0022377797419355803
645;222;2646;0.0007231587163530956
646;222;2673;-0.0003383920079561045
647;222;2674;-0.00038476670839699117
648;223;2647;-0.002504111913095101
649;223;2674;-0.002382302367284285
650;223;2675;0.004886414280379387
651;224;2648;0.002260288440943586
652;224;2675;-0.005872007746289466
653;224;2676;0.0036117193053458807
654;225;2649;0.0007509488936359263
655;225;2676;-0.0004691005855744039
656;225;2677;-0.00028184830806152243
657;226;2650;-0.0038427359155664646
658;226;2677;-0.002028201368256161
659;226;2678;0.005870937283822618
660;227;2651;0.0017488812364871592
661;227;2678;-0.006837130341933754
662;227;2679;0.005088249105446594
663;228;2652;0.0007234410710253211
664;228;2679;-0.0005429207639623288
665;228;2680;-0.0001805203070629923
666;229;2653;-0.005318592074073486
667;229;2680;-0.0015981951111833583
668;229;2681;0.006916787185256844
669;230;2654;0.001185894524757626
670;230;2681;-0.007792918324032605
671;230;2682;0.006607023799274978
672;231;2655;0.0005934016920837877
673;231;2682;-0.0005051705028115596
674;231;2683;-8.823118927222794e-05
675;232;2656;-0.006950283413079319
676;232;2683;-0.0011177350020267944
677;232;2684;0.008068018415106112
678;233;2657;0.0005995091206688152
679;233;2684;-0.008753394773540469
680;233;2685;0.008153885652871654
681;234;2658;0.000349120420868969
682;234;2685;-0.0003257181942673915
683;234;2686;-2.3402226601577286e-05
684;235;2659;-0.008761877571213866
685;235;2686;-0.0005873258397960698
686;235;2687;0.009349203411009935
687;236;2687;-0.009739204314400939
688;236;2688;0.009739204314400937
689;237;2660;0.0028608848125315023
690;237;2689;-0.0028608848125315023
691;238;2661;7.485704374355338e-05
692;238;2689;-0.000698700891352319
693;238;2690;0.0006238438476087657
694;239;2662;0.0035040875677643402
695;239;2690;-0.0032141631214026804
696;239;2691;-0.00028992444636165846
697;240;2663;0.001781290898391553
698;240;2691;0.00018109194342695622
699;240;2692;-0.0019623828418185094
700;241;2664;0.00018623843487993954
701;241;2692;-0.0018141599521027496
702;241;2693;0.00162792151722281
703;242;2665;0.0034787322373730336
704;242;2693;-0.0034843145534857213
705;242;2694;5.582316112687642e-06
706;243;2666;0.0012799397932537818
707;243;2694;-2.240782674031094e-06
708;243;2695;-0.0012776990105797504
709;244;2667;-0.00013525358331418756
710;244;2695;-0.0024276672977839365
711;244;2696;0.002562920881098124
712;245;2668;0.0033427591348861585
713;245;2696;-0.004060452745709112
714;245;2697;0.000717693610822954
715;246;2669;0.0010647862821331843
716;246;2697;-0.0001988048833712159
717;246;2698;-0.0008659813987619684
718;247;2670;-0.0008659813987619664
719;247;2698;-0.002663100262762301
720;247;2699;0.003529081661524267
721;248;2671;0.0031148440673047784
722;248;2699;-0.004863425490108856
723;248;2700;0.0017485814228040755
724;249;2672;0.0009935512219538243
725;249;2700;-0.00036934340083875927
726;249;2701;-0.0006242078211150649
727;250;2673;-0.0018993877339794764
728;250;2701;-0.002620276799871738
729;250;2702;0.004519664533851215
730;251;2674;0.002767069075681277
731;251;2702;-0.005790754884885299
732;251;2703;0.0030236858092040223
733;252;2675;0.00098559346591008
734;252;2703;-0.0005250746774407901
735;252;2704;-0.00046051878846929
736;253;2676;-0.003142618719771477
737;253;2704;-0.0023873377215034705
738;253;2705;0.005529956441274948
739;254;2677;0.002310049676317682
740;254;2705;-0.006765530862506246
741;254;2706;0.004455481186188562
742;255;2678;0.0009661930581111351
743;255;2706;-0.0006437849770421394
744;255;2707;-0.00032240808106899575
745;256;2679;-0.004545328341484267
746;256;2707;-0.002038040270430116
747;256;2708;0.00658336861191439
748;257;2680;0.0017787154182463505
749;257;2708;-0.007748181210525907
750;257;2709;0.005969465792279562
751;258;2681;0.0008761311387757605
752;258;2709;-0.0006793968022870736
753;258;2710;-0.00019673433648868688
754;259;2682;-0.006101853296463419
755;259;2710;-0.0016160956608823182
756;259;2711;0.007717948957345736
757;260;2683;0.0012059661912990224
758;260;2711;-0.008733556287913806
759;260;2712;0.007527590096614783
760;261;2684;0.0006853763584343584
761;261;2712;-0.0005926822480449082
762;261;2713;-9.269411038945024e-05
763;262;2685;-0.007828167458604263
764;262;2713;-0.0011365669604005257
765;262;2714;0.008964734419004788
766;263;2686;0.0006107280663976471
767;263;2714;-0.009734419042079095
768;263;2715;0.009123690975681446
769;264;2687;0.0003900009033910036
770;264;2715;-0.0003660098732850192
771;264;2716;-2.3991030105984327e-05
772;265;2688;-0.009739204314400939
773;265;2716;-0.0005991102632930855
774;265;2717;0.010338314577694026
775;266;2717;-0.010766032544257422
776;266;2718;0.010766032544257424
777;267;2689;0.0035595857038838215
778;267;2719;-0.0034101522256684037
779;267;2720;-0.00014943347821541782
780;268;2690;0.002590319273793915
781;268;2720;0.00012179154765125014
782;268;2721;-0.0027121108214451656
783;269;2691;0.00010883250293470227
784;269;2721;-0.0012632689713223946
785;269;2722;0.0011544364683876928
786;270;2692;0.0037765427939212594
787;270;2722;-0.0036967597090627477
788;270;2723;-7.978308485851197e-05
789;271;2693;0.0018563930362629098
790;271;2723;4.37047315444817e-05
791;271;2724;-0.001900097767807392
792;272;2694;-3.34153343865655e-06
793;272;2724;-0.0021347880233286588
794;272;2725;0.0021381295567673153
795;273;2695;0.003705366308363687
796;273;2725;-0.0041580579075175764
797;273;2726;0.0004526915991538898
798;274;2696;0.0014975318646109873
799;274;2726;-0.00017330110330501168
800;274;2727;-0.0013242307613059758
801;275;2697;-0.0005188887274517396
