energy;conductance_lead;conductance_junction
-0.0146;1.0;0.639
-0.0144;1.0;0.645
-0.0142;1.0;0.652
-0.014;1.0;0.659
-0.0138;1.0;0.667
-0.0136;1.0;0.675
-0.0134;1.0;0.684
-0.0132;1.0;0.694
-0.013;1.0;0.704
-0.0128;1.0;0.715
-0.0126;1.0;0.726
-0.0124;1.0;0.739
-0.0122;1.0;0.752
-0.012;1.0;0.767
-0.0118;1.0;0.782
-0.0116;1.0;0.799
-0.0114;1.0;0.817
-0.0112;1.0;0.836
-0.011;1.0;0.857
-0.0108;1.0;0.879
-0.0106;1.0;0.902
-0.0104;1.0;0.925
-0.0102;1.0;0.948
-0.01;1.0;0.97
-0.0098;1.0;0.988
-0.0096;1.0;0.999
-0.0094;1.0;0.998
-0.0092;1.0;0.98
-0.009;1.0;0.938
-0.0088;1.0;0.866
-0.0086;1.0;0.763
-0.0084;1.0;0.635
-0.0082;1.0;0.495
-0.008;1.0;0.359
-0.0078;1.0;0.241
-0.0076;1.0;0.149
-0.0074;1.0;0.083
-0.0072;1.0;0.04
-0.007;1.0;0.015
-0.0068;1.0;0.003
-0.0066;1.0;0.0
-0.0064;1.0;0.003
-0.0062;1.0;0.01
-0.006;1.0;0.02
-0.0058;1.0;0.03
-0.0056;1.0;0.041
-0.0054;1.0;0.052
-0.0052;1.0;0.063
-0.005;1.0;0.074
-0.0048;1.0;0.084
-0.0046;1.0;0.094
-0.0044;1.0;0.103
-0.0042;1.0;0.111
-0.004;1.0;0.119
-0.0038;1.0;0.126
-0.0036;1.0;0.133
-0.0034;1.0;0.139
-0.0032;1.0;0.145
-0.003;1.0;0.151
-0.0028;1.0;0.155
-0.0026;1.0;0.16
-0.0024;1.0;0.164
-0.0022;1.0;0.168
-0.002;1.0;0.171
-0.0018;1.0;0.174
-0.0016;1.0;0.177
-0.0014;1.0;0.18
-0.0012;1.0;0.183
-0.001;1.0;0.185
-0.0008;1.0;0.189
-0.0006;1.0;0.195
-0.0004;1.0;0.214
-0.0002;1.0;0.541
0.0;1.0;0.072
0.0002;1.0;0.541
0.0004;1.0;0.214
0.0006;1.0;0.195
0.0008;1.0;0.189
0.001;1.0;0.185
0.0012;1.0;0.183
0.0014;1.0;0.18
0.0016;1.0;0.177
0.0018;1.0;0.174
0.002;1.0;0.171
0.0022;1.0;0.168
0.0024;1.0;0.164
0.0026;1.0;0.16
0.0028;1.0;0.155
0.003;1.0;0.151
0.0032;1.0;0.145
0.0034;1.0;0.139
0.0036;1.0;0.133
0.0038;1.0;0.126
0.004;1.0;0.119
0.0042;1.0;0.111
0.0044;1.0;0.103
0.0046;1.0;0.094
0.0048;1.0;0.084
0.005;1.0;0.074
0.0052;1.0;0.063
0.0054;1.0;0.052
0.0056;1.0;0.041
0.0058;1.0;0.03
0.006;1.0;0.02
0.0062;1.0;0.01
0.0064;1.0;0.003
0.0066;1.0;0.0
0.0068;1.0;0.003
0.007;1.0;0.015
0.0072;1.0;0.04
0.0074;1.0;0.083
0.0076;1.0;0.149
0.0078;1.0;0.241
0.008;1.0;0.359
0.0082;1.0;0.495
0.0084;1.0;0.635
0.0086;1.0;0.763
0.0088;1.0;0.866
0.009;1.0;0.938
0.0092;1.0;0.98
0.0094;1.0;0.998
0.0096;1.0;0.999
0.0098;1.0;0.988
0.01;1.0;0.97
0.0102;1.0;0.948
0.0104;1.0;0.925
0.0106;1.0;0.902
0.0108;1.0;0.879
0.011;1.0;0.857
0.0112;1.0;0.836
0.0114;1.0;0.817
0.0116;1.0;0.799
0.0118;1.0;0.782
0.012;1.0;0.767
0.0122;1.0;0.752
0.0124;1.0;0.739
0.0126;1.0;0.726
0.0128;1.0;0.715
0.013;1.0;0.704
0.0132;1.0;0.694
0.0134;1.0;0.684
0.0136;1.0;0.675
0.0138;1.0;0.667
0.014;1.0;0.659
0.0142;1.0;0.652
0.0144;1.0;0.645
0.0146;1.0;0.639
0.0148;1.0;0.633
0.015;1.0;0.627
0.0152;1.0;0.622
0.0154;1.0;0.617
0.0156;1.0;0.612
0.0158;1.0;0.607
0.016;1.0;0.603
0.0162;1.0;0.598
0.0164;1.0;0.594
0.0166;1.0;0.59
0.0168;1.0;0.587
0.017;1.0;0.583
0.0172;1.0;0.58
0.0174;1.0;0.577
0.0176;1.0;0.573
0.0178;1.0;0.571
0.018;1.0;0.568
0.0182;1.0;0.565
0.0184;1.0;0.562
0.0186;1.0;0.56
0.0188;1.0;0.557
0.019;1.0;0.555
0.0192;1.0;0.552
0.0194;1.0;0.55
0.0196;1.0;0.548
0.0198;1.0;0.546
0.02;1.0;0.544
0.0202;1.0;0.542
0.0204;1.0;0.54
0.0206;1.0;0.538
0.0208;1.0;0.536
0.021;1.0;0.534
0.0212;1.0;0.533
